Date Time Hour Beginning,Original Res Forecast before Lockdown,Actual Residual Demand,Deviation From Original Fc,Latest Official Residual Forecast,Alert Level 1,Alert Level 2,Alert Level 3,Alert Level 4,Alert Level 5,Zero Line
2020-03-30 07:00,26302.973999999998,18486.529999999999,7816.4439999999995,,0,0,0,0,100000,.0
2020-03-30 08:00,27248.361000000001,19855.27,7393.0910000000003,,0,0,0,0,100000,.0
2020-03-30 09:00,27309.028999999999,20187.400000000001,7121.6289999999972,,0,0,0,0,100000,.0
2020-03-30 10:00,27465.438999999998,20243.27,7222.1689999999981,,0,0,0,0,100000,.0
2020-03-30 11:00,27314.822,20151.400000000001,7163.4219999999987,,0,0,0,0,100000,.0
2020-03-30 12:00,27110.413,20157.27,6953.143,,0,0,0,0,100000,.0
2020-03-30 13:00,27014.414000000001,20086.400000000001,6928.0139999999992,,0,0,0,0,100000,.0
2020-03-30 14:00,27152.905999999999,20323.27,6829.6359999999986,,0,0,0,0,100000,.0
2020-03-30 15:00,27482.425999999999,20719.400000000001,6763.025999999998,,0,0,0,0,100000,.0
2020-03-30 16:00,27723.696,21956.27,5767.4259999999995,,0,0,0,0,100000,.0
2020-03-30 17:00,27954.742999999999,23161.606,4793.1369999999988,,0,0,0,0,100000,.0
2020-03-30 18:00,29415.681,24535.860000000001,4879.8209999999999,,0,0,0,0,100000,.0
2020-03-30 19:00,29035.119999999999,22860.010999999999,6175.1090000000004,,0,0,0,0,100000,.0
2020-03-30 20:00,27053.998,20870.508000000002,6183.489999999998,,0,0,0,0,100000,.0
2020-03-30 21:00,25053.007000000001,19387.400000000001,5665.607,,0,0,0,0,100000,.0
2020-03-30 22:00,23621.416000000001,17673.27,5948.1460000000006,,0,0,0,0,100000,.0
2020-03-30 23:00,22351.008000000002,16714.400000000001,5636.6080000000002,,0,0,0,0,100000,.0
2020-03-31 00:00,21908.802,16211.4,5697.402,,0,0,0,0,100000,.0
2020-03-31 01:00,21634.876,15750.4,5884.4760000000006,,0,0,0,0,100000,.0
2020-03-31 02:00,21562.960999999999,15306.27,6256.6909999999989,,0,0,0,0,100000,.0
2020-03-31 03:00,21925.198,15213.27,6711.9279999999999,,0,0,0,0,100000,.0
2020-03-31 04:00,22709.403999999999,15547.4,7162.003999999999,,0,0,0,0,100000,.0
2020-03-31 05:00,24454.819,16294.27,8160.5489999999991,,0,0,0,0,100000,.0
